Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription,,,
2011/11/17,2 Minister Street, Cathays, Cardiff, CF24 4HR,5,Shared House,,,
2011/11/17,76 Monthermer Road, Cathays, Cardiff, CF24 4QY,5,Shared House,,,
2011/11/18,34 Dogfield Street, Cathays, Cardiff, CF24 4QJ,5,Shared House,,,
2011/11/18,126 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,5,Shared House,,,
2011/11/21,91 Harriet Street, Cathays, Cardiff, CF24 4BX,4,Shared House,,,
2011/11/21,27 Rhymney Street, Cathays, Cardiff, CF24 4DF,3,Shared House,,,
2011/11/23,20 Coburn Street, Cathays, Cardiff, CF24 4BS,3,Shared House,,,
2011/11/23,22 Coburn Street, Cathays, Cardiff, CF24 4BS,6,Shared House,,,
2011/11/23,60 Harriet Street, Cathays, Cardiff, CF24 4BW,6,Shared House,,,
2011/12/1,143 Rhymney Street, Cathays, Cardiff, CF24 4DL,4,Shared House,,,
2011/12/1,14 Hazeldene Avenue, Cathays, Cardiff, CF24 4QP,4,Shared House,,,
2011/12/6,71 Coburn Street, Cathays, Cardiff, CF24 4BR,6,Shared House,,,
2011/12/6,77 Coburn Street, Cathays, Cardiff, CF24 4BR,4,Shared House,,,
2011/12/6,83 Coburn Street, Cathays, Cardiff, CF24 4BR,6,Shared House,,,
2011/12/6,16 Harriet Street, Cathays, Cardiff, CF24 4BY,6,Shared House,,,
2011/12/6,31 Richards Street, Cathays, Cardiff, CF24 4DA,4,Shared House,,,
2011/12/6,71 Rhymney Street, Cathays, Cardiff, CF24 4DH,6,Shared House,,,
2011/12/6,120a Woodville Road, Cathays, Cardiff, CF24 4EE,6,Flats Section 257,,,
2011/12/7,81 Wyeverne Road, Cathays, Cardiff, CF24 4BG,5,Shared House,,,
2011/12/7,55 Tewkesbury Street, Cathays, Cardiff, CF24 4QR,9,Shared House,,,
2011/12/8,20a Salisbury Road, Cathays, Cardiff, CF24 4AD,3,Flats Section 257,,,
2011/12/8,58 Flora Street, Cathays, Cardiff, CF24 4EQ,5,Shared House,,,
2011/12/8,1 Pentyrch Street, Cathays, Cardiff, CF24 4JW,6,Shared House,,,
2011/12/8,28 Gelligaer Street, Cathays, Cardiff, CF24 4LA,6,Shared House,,,
2011/12/8,125 Lisvane Street, Cathays, Cardiff, CF24 4LJ,6,Shared House,,,
2011/12/9,14 Llanbleddian Gardens, Cathays, Cardiff, CF24 4AT,4,Flats Section 257,,,
2011/12/9,45 Gelligaer Street, Cathays, Cardiff, CF24 4LD,10,Shared House,,,
2011/12/12,91 Malefant Street, Cathays, Cardiff, CF24 4QE,5,Shared House,,,
2011/12/15,23 Richards Street, Cathays, Cardiff, CF24 4DA,6,Shared House,,,
2011/12/16,3 Cwmdare Street, Cathays, Cardiff, CF24 4JY,5,Shared House,,,
2011/12/16,52 Daniel Street, Cathays, Cardiff, CF24 4NY,4,Shared House,,,
2011/12/16,77 Dogfield Street, Cathays, Cardiff, CF24 4QL,4,Shared House,,,
2011/12/21,23 Rhymney Street, Cathays, Cardiff, CF24 4DF,4,Shared House,,,
2011/12/21,116 Rhymney Street, Cathays, Cardiff, CF24 4DG,4,Shared House,,,
2011/12/21,161 Cathays Terrace, Cathays, Cardiff, CF24 4HW,5,Shared House,,,
2011/12/21,163 Cathays Terrace, Cathays, Cardiff, CF24 4HW,,Shared House,,,
2011/12/21,2a Keppoch Street, Roath, Cardiff, CF24 3JW,7,Shared House,,,
2011/12/21,38 Mackintosh Place, Roath, Cardiff, CF24 4RQ,7,Shared House,,,
2011/12/22,2 Cranbrook Street, Cathays, Cardiff, CF24 4AL,4,Shared House,,,
2011/12/22,4 Cranbrook Street, Cathays, Cardiff, CF24 4AL,4,Shared House,,,
2011/12/22,"Wallich Clifford,176 Newport Road", Roath, Cardiff, CF24 1DL,5,Hostel/B&B,,,
2011/12/23,1 Plantagenet Street, Riverside, Cardiff, CF11 6AS,9,Shared House,,,
2012/1/3,121 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,5,Shared House,,,
2012/1/10,13 Salisbury Road, Cathays, Cardiff, CF24 4AA,4,Shared House,,,
2012/1/10,41 Thesiger Street, Cathays, Cardiff, CF24 4BP,4,Shared House,,,
2012/1/11,5 Ruthin Gardens, Cathays, Cardiff, CF24 4AU,5,Shared House,,,
2012/1/11,22 Thesiger Street, Cathays, Cardiff, CF24 4BN,5,Shared House,,,
2012/1/11,106 Coburn Street, Cathays, Cardiff, CF24 4BT,4,Shared House,,,
2012/1/11,56 Rhymney Street, Cathays, Cardiff, CF24 4DG,4,Shared House,,,
2012/1/11,37 Flora Street, Cathays, Cardiff, CF24 4EQ,4,Shared House,,,
2012/1/11,4 Cwmdare Street, Cathays, Cardiff, CF24 4JZ,5,Shared House,,,1329
2012/1/12,22 Cogan Terrace, Cathays, Cardiff, CF24 4AX,6,Shared House,,,
2012/1/12,79 Coburn Street, Cathays, Cardiff, CF24 4BR,4,Shared House,,,
2012/1/12,9 Norman Street, Cathays, Cardiff, CF24 4NU,4,Shared House,,,
2012/1/12,12 Malefant Street, Cathays, Cardiff, CF24 4QB,6,Shared House,,,
