Start Date,Name,Area,City,Postcode,Number Of Lettings,Hmo TypesDescription
2016/10/19,97 Rhymney Street, Cathays, Cardiff, CF24 4DH,4,Shared House
2016/10/19,37 Woodville Road, Cathays, Cardiff, CF24 4DW,5,Shared House
2016/10/19,11 Letty Street, Cathays, Cardiff, CF24 4EJ,4,Shared House
2016/10/19,34 Minny Street, Cathays, Cardiff, CF24 4ES,5,Shared House
2016/10/19,67 Woodville Road, Cathays, Cardiff, CF24 4FX,3,Shared House
2016/10/19,71 Woodville Road, Cathays, Cardiff, CF24 4FX,6,Shared House
2016/10/19,12 Llantrisant Street, Cathays, Cardiff, CF24 4JB,6,Shared House
2016/10/19,157 Woodville Road, Cathays, Cardiff, CF24 4NW,6,Shared House
2016/10/19,94 Malefant Street, Cathays, Cardiff, CF24 4QE,6,Shared House
2016/10/19,35 Clun Terrace, Cathays, Cardiff, CF24 4RB,6,Bedsits
2016/10/19,15 Glenroy Street, Roath, Cardiff, CF24 3JX,4,Shared House
2016/10/19,11 Angus Street, Roath, Cardiff, CF24 3LW,7,Shared House
2016/10/31,74 Rhymney Street, Cathays, Cardiff, CF24 4DG,6,Shared House
2016/10/31,78 Minny Street, Cathays, Cardiff, CF24 4ET,2,Shared House
2016/10/31,43 Cathays Terrace, Cathays, Cardiff, CF24 4HS,3,Shared House
2016/10/31,103 Cathays Terrace, Cathays, Cardiff, CF24 4HT,5,Shared House
2016/10/31,69 Cathays Terrace, Cathays, Cardiff, CF24 4HT,4,Shared House
2016/10/31,66 Malefant Street, Cathays, Cardiff, CF24 4QH,4,Shared House
2016/10/31,106 Diana Street, Roath, Cardiff, CF24 4TU,4,Shared House
2016/11/1,85 Minny Street, Cathays, Cardiff, CF24 4EU,3,Shared House
2016/11/1,36 Tewkesbury Street, Cathays, Cardiff, CF24 4QT,5,Shared House
2016/11/2,3 Merthyr Street, Cathays, Cardiff, CF24 4JL,3,Shared House
2016/11/2,68 Brithdir Street, Cathays, Cardiff, CF24 4LF,4,Shared House
2016/11/3,2a Colum Road, Cathays, Cardiff, CF10 3EG,3,Shared House
2016/11/3,1 Llandough Street, Cathays, Cardiff, CF24 4AW,5,Shared House
2016/11/3,19 Wyeverne Road, Cathays, Cardiff, CF24 4BG,5,Shared House
2016/11/3,10 Minister Street, Cathays, Cardiff, CF24 4HR,4,Shared House
2016/11/3,23 Gordon Road, Roath, Cardiff, CF24 3AL,5,Shared House
2016/11/3,50 Strathnairn Street, Roath, Cardiff, CF24 3JN,5,Shared House
2016/11/3,40 Angus Street, Roath, Cardiff, CF24 3LY,7,Shared House
2016/11/3,21 Pen-y-lan Road, Roath, Cardiff, CF24 3PG,7,Flats Section 257
2016/11/4,40 Salisbury Road, Cathays, Cardiff, CF24 4AD,1,Shared House
2016/11/4,112 Coburn Street, Cathays, Cardiff, CF24 4BT,8,Shared House
2016/11/4,11 Fanny Street, Cathays, Cardiff, CF24 4EG,0,Shared House
2016/11/4,81 Minny Street, Cathays, Cardiff, CF24 4EU,1,Shared House
2016/11/4,43 Llantrisant Street, Cathays, Cardiff, CF24 4JD,4,Shared House
2016/11/4,31 Tewkesbury Street, Cathays, Cardiff, CF24 4QQ,3,Shared House
2016/11/4,98 Cottrell Road, Roath, Cardiff, CF24 3EZ,3,Shared House
2016/11/4,9 Moy Road, Roath, Cardiff, CF24 4SG,4,Shared House
2016/11/9,44 Thesiger Street, Cathays, Cardiff, CF24 4BN,5,Shared House
2016/11/9,59 Richards Street, Cathays, Cardiff, CF24 4DB,12,Shared House
2016/11/9,5 Flora Street, Cathays, Cardiff, CF24 4EP,0,Shared House
2016/11/9,85 Brithdir Street, Cathays, Cardiff, CF24 4LF,4,Shared House
2016/11/9,100 Tewkesbury Street, Cathays, Cardiff, CF24 4QS,4,Shared House
2016/11/9,78 Monthermer Road, Cathays, Cardiff, CF24 4QY,1,Shared House
2016/11/9,39 Richmond Road, Roath, Cardiff, CF24 3AR,5,Shared House
2016/11/9,38 Richmond Road, Roath, Cardiff, CF24 3AT,6,Flats Section 257
2016/11/9,40 Richmond Road, Roath, Cardiff, CF24 3AT,5,Flats Section 257
2016/11/9,5 Partridge Road, Roath, Cardiff, CF24 3QW,6,Flats Section 257
2016/11/9,118 Mackintosh Place, Roath, Cardiff, CF24 4RR,,Shared House
2016/11/10,35 Coburn Street, Cathays, Cardiff, CF24 4BQ,9,Shared House
2016/11/10,65 Richards Street, Cathays, Cardiff, CF24 4DB,4,Shared House
2016/11/10,8 Flora Street, Cathays, Cardiff, CF24 4EP,5,Shared House
2016/11/10,163 Malefant Street, Cathays, Cardiff, CF24 4QG,5,Shared House
2016/11/10,24 Dogfield Street, Cathays, Cardiff, CF24 4QJ,4,Shared House
2016/11/10,85 Monthermer Road, Cathays, Cardiff, CF24 4QY,8,Shared House
2016/11/10,85 Richmond Road, Roath, Cardiff, CF24 3BS,4,Flats Section 257
2016/11/10,34 Talworth Street, Roath, Cardiff, CF24 3EJ,4,Shared House
2016/11/10,11 Arran Street, Roath, Cardiff, CF24 3HR,5,Shared House
2016/11/10,81 Connaught Road, Roath, Cardiff, CF24 3PX,5,Shared House
2016/11/11,4 Hirwain Street, Cathays, Cardiff, CF24 4JH,3,Shared House
2016/11/11,64 Lisvane Street, Cathays, Cardiff, CF24 4LN,5,Shared House
